id	author_id	base_language	text	posted_time_in_years
7	868	hin	my bestest buddy is muslim n we never discussed politics ever but today she was like all for  says are yaar kya hua ye mat socho	2014
19	868	hin	its really hard for bjp, center ke sath sath ab bihar, asaam me bhi government banane ke liye plan karna padega. arey dhire dhire resign do	2014
455	868	hin	"sentence which describe our politics. "":  sab saale chor hai"""	2014
6132	868	hin	बिहार के बिगड़े हालात के बीच पूल में डांस और मस्ती करते दिखे लालू के बड़े बेटे	2016
11448	868	hin	before sonia gandhi - who says we don't have numbers  now we knew that government can't be dismissed coz they have numbers.  तो काहे का इतना ड्रामा किआ भाई, कुछ ढंग का काम कर लेते।	2018
13118	868	hin	"so the government has revoke the security of those separatist s in j&amp;k. those bastards enjoy the luxury life on indian taxpayer s' money and support pakistan.  it should have been done earlier but ""der aaye durust aaye""."	2019
415	868	hin	aap salman ko bura bolo to shahrukh ke fans rt karein aur agar shahrukg ko bura bolo to salman ke fans rt karein.  so much fun...	2014
17199	868	hin	at igi terminal  airport,  's ke bollywood songs baja rahe hain. mast lumar sanu, udit narayan wale 	2020
3219	2346	hin	bogus promises,  bogus work,  bogus degrees, bogus government!   - bogus jhooti party everything bogus about it !	2015
3784	2346	hin	caused loss of ₹ lakh crore to nation&amp; ₹lakh crore to maha by opposing gst for  yrs	2015
15240	2346	hin	ab ki baar trump sarkaar - said modi ji as rating of trump goes down. forget now india's foreign policy of non-interference in other country's internal politics. it's new india  अपना काम बनता भाड़ में जाए देश की जनता	2019
490	1547	hin	for rs  we may only buy a kg of , but  can buy dal, juice &amp; fruit salad.	2014
2633	1547	hin	delhi government scales-up battle with air pollution, notices issued to  construction projects	2015
11	755	hin	teestasetalvad: mayawatis no to nda  teesta s last hope	2014
3861	755	hin	kisi politician main himat nahi hai ki rservton par swal uthai .they have all become slaves to politics of resrvton	2015
4886	755	hin	corruption from top to bottom. bishen singh bedi we don't want to talk politics but corruption  na khaunga na khane dunga	2015
10484	755	hin	tdp&amp; ysr congress are playing state politics at the national level. i don’t see any threat to nda from them, nor would it help opposition unity. this is happening now because allies feel that modi govt is under pressure so they can take advantage to make a political point.	2018
5484	755	hin	aaya khan gaya khan. maza nahi aa raha bhaijaan	2016
7361	755	hin	ham ne indra ki emergency oppose karke jail khai hai. arun nehru ko oppose karke tihar main raha hun. main srk ya aamir nahi hun. samjhe	2016
6	1596	hin	now 's politics is over bure din aane wale hai --&gt; loose elctn vacant govt house appear in court go to jail for foreign fud scam	2014
5	567	hin	jamaat-i-hind supports aap in ,wah!arvindbabu communal politics ke aap ustaad ban gaye! aap	2014
